zipCode,Average_Income_Per_Citizen
9860,26582.41540787222
9860,26582.41540787222
9831,33074.17094223084
9830,33074.17094223084
9185,23989.228646165622
1830,23410.091746875
9870,23410.091746875
9870,23410.091746875
9870,23410.091746875
,24822.681150456265
,25085.96186088252
,24658.74376033211
9700,23898.19826519303
9700,23898.19826519303
9700,23898.19826519303
9700,23898.19826519303
9700,23898.19826519303
9700,23898.19826519303
9700,23898.19826519303
9700,23898.19826519303
9700,23898.19826519303
9700,23898.19826519303
9700,23898.19826519303
9700,23898.19826519303
9700,23898.19826519303
9700,23898.19826519303
9600,18408.097241366573
9660,23966.94596988072
9660,23966.94596988072
9660,23966.94596988072
9660,23966.94596988072
9660,23966.94596988072
9660,23966.94596988072
9661,23966.94596988072
9660,23966.94596988072
9690,23597.86716904277
9690,23597.86716904277
9790,25624.57256868132
9790,25624.57256868132
9790,25624.57256868132
9790,25624.57256868132
9790,25624.57256868132
9667,27362.28082023576
9667,27362.28082023576
9570,24223.001579720796
9571,24223.001579720796
9570,24223.001579720796
9572,24223.001579720796
9680,26069.012228706622
9680,26069.012228706622
9681,26069.012228706622
9688,26069.012228706622
9630,25237.22700721153
9630,25237.22700721153
9630,25237.22700721153
9630,25237.22700721153
9630,25237.22700721153
9636,25237.22700721153
9630,25237.22700721153
9630,25237.22700721153
9630,25237.22700721153
9630,25237.22700721153
9630,25237.22700721153
9630,25237.22700721153
,25484.15777582748
8791,25129.041794831013
8800,25129.041794831013
9120,25129.041794831013
9130,25129.041794831013
9120,25129.041794831013
9120,25129.041794831013
9130,25129.041794831013
9130,25129.041794831013
9120,25129.041794831013
9130,25129.041794831013
9120,25129.041794831013
9150,24160.338957551598
9150,24160.338957551598
9150,24160.338957551598
9160,22352.64217768902
9160,22352.64217768902
9160,22352.64217768902
9170,24725.17018262091
9170,24725.17018262091
9170,24725.17018262091
9170,24725.17018262091
9111,21033.33896102936
9100,21033.33896102936
9112,21033.33896102936
9100,21033.33896102936
9190,24143.52619934624
9190,24143.52619934624
9140,23164.215984739185
9140,23164.215984739185
9140,23164.215984739185
9140,23164.215984739185
7800,22299.5948660923
7803,22299.5948660923
7822,22299.5948660923
7823,22299.5948660923
7812,22299.5948660923
7801,22299.5948660923
7822,22299.5948660923
7800,22299.5948660923
7812,22299.5948660923
7810,22299.5948660923
7812,22299.5948660923
7822,22299.5948660923
7812,22299.5948660923
7802,22299.5948660923
7804,22299.5948660923
7804,22299.5948660923
7812,22299.5948660923
7812,22299.5948660923
7972,20529.86705647701
7971,20529.86705647701
7970,20529.86705647701
7972,20529.86705647701
7973,20529.86705647701
7972,20529.86705647701
7971,20529.86705647701
7973,20529.86705647701
7971,20529.86705647701
7971,20529.86705647701
7320,19856.32356352665
7321,19856.32356352665
7321,19856.32356352665
7322,19856.32356352665
7322,19856.32356352665
7941,21254.74295579388
7940,21254.74295579388
7940,21254.74295579388
7943,21254.74295579388
7942,21254.74295579388
7950,21100.22613484741
7950,21100.22613484741
7950,21100.22613484741
7950,21100.22613484741
7951,21100.22613484741
7950,21100.22613484741
7890,22769.108004690905
7890,22769.108004690905
7890,22769.108004690905
7880,22655.321858562245
7910,22088.555874380167
7910,22088.555874380167
7910,22088.555874380167
7911,22088.555874380167
7910,22088.555874380167
7912,22088.555874380167
7910,22088.555874380167
7910,22088.555874380167
7911,22088.555874380167
7911,22088.555874380167
7911,22088.555874380167
7911,22088.555874380167
7911,22088.555874380167
7912,22088.555874380167
7910,22088.555874380167
,22527.3895176692
,25093.868206650837
,20057.53140206732
7160,19228.18031115011
7160,19228.18031115011
7160,19228.18031115011
6000,15641.346250312828
6010,15641.346250312828
6020,15641.346250312828
6060,15641.346250312828
6041,15641.346250312828
6030,15641.346250312828
6040,15641.346250312828
6042,15641.346250312828
6030,15641.346250312828
6001,15641.346250312828
6031,15641.346250312828
6032,15641.346250312828
6061,15641.346250312828
6043,15641.346250312828
6044,15641.346250312828
6200,16719.60135503492
6200,16719.60135503492
6200,16719.60135503492
6180,18472.57565800824
6181,18472.57565800824
6182,18472.57565800824
6183,18472.57565800824
6240,14398.312679311866
6240,14398.312679311866
6222,19188.66403337421
6220,19188.66403337421
6220,19188.66403337421
6220,19188.66403337421
6221,19188.66403337421
6223,19188.66403337421
6224,19188.66403337421
6220,19188.66403337421
6140,18738.394394434898
6141,18738.394394434898
6142,18738.394394434898
6280,25030.83977320552
6280,25030.83977320552
6280,25030.83977320552
6280,25030.83977320552
6280,25030.83977320552
6280,25030.83977320552
6111,24617.228028865164
6110,24617.228028865164
6230,23298.5205829392
6238,23298.5205829392
6238,23298.5205829392
6230,23298.5205829392
6230,23298.5205829392
6230,23298.5205829392
6230,23298.5205829392
6250,18992.941123543977
6250,18992.941123543977
6250,18992.941123543977
6250,18992.941123543977
6210,24497.628063941294
6211,24497.628063941294
6210,24497.628063941294
6210,24497.628063941294
6210,24497.628063941294
7300,16770.068550955417
7301,16770.068550955417
7370,18080.10873205453
7370,18080.10873205453
7370,18080.10873205453
7370,18080.10873205453
7080,18317.939158406756
7080,18317.939158406756
7080,18317.939158406756
7080,18317.939158406756
7080,18317.939158406756
7350,19113.62536118876
7350,19113.62536118876
7350,19113.62536118876
7350,19113.62536118876
7050,23798.96820817228
7050,23798.96820817228
7050,23798.96820817228
7050,23798.96820817228
7050,23798.96820817228
7050,23798.96820817228
7870,21295.80682770415
7870,21295.80682770415
7870,21295.80682770415
7870,21295.80682770415
7870,21295.80682770415
7024,19054.18625387446
7033,19054.18625387446
7012,19054.18625387446
7011,19054.18625387446
7022,19054.18625387446
7022,19054.18625387446
7021,19054.18625387446
7022,19054.18625387446
7012,19054.18625387446
7020,19054.18625387446
7022,19054.18625387446
7000,19054.18625387446
7020,19054.18625387446
7022,19054.18625387446
7034,19054.18625387446
7030,19054.18625387446
7032,19054.18625387446
7031,19054.18625387446
7390,16532.956102337335
7390,16532.956102337335
7382,17541.930887332164
7380,17541.930887332164
7380,17541.930887332164
7331,20658.01715402493
7334,20658.01715402493
7332,20658.01715402493
7330,20658.01715402493
7332,20658.01715402493
7333,20658.01715402493
7334,20658.01715402493
7340,15980.791969601629
7340,15980.791969601629
7340,15980.791969601629
7340,15980.791969601629
7387,21962.359292929294
7387,21962.359292929294
7387,21962.359292929294
7387,21962.359292929294
7387,21962.359292929294
7387,21962.359292929294
7387,21962.359292929294
7387,21962.359292929294
7387,21962.359292929294
7387,21962.359292929294
7040,22521.776677359656
7040,22521.776677359656
7040,22521.776677359656
7040,22521.776677359656
7040,22521.776677359656
7041,22521.776677359656
7040,22521.776677359656
7041,22521.776677359656
7040,22521.776677359656
7040,22521.776677359656
7090,21873.939555613197
7090,21873.939555613197
7090,21873.939555613197
7090,21873.939555613197
7090,21873.939555613197
7090,21873.939555613197
7070,22527.52149455288
7070,22527.52149455288
7070,22527.52149455288
7070,22527.52149455288
7070,22527.52149455288
7061,20782.72284193313
7063,20782.72284193313
7060,20782.72284193313
7062,20782.72284193313
7063,20782.72284193313
7060,20782.72284193313
7061,20782.72284193313
7190,21182.460012190877
7191,21182.460012190877
7190,21182.460012190877
,23754.487674479165
,17883.711930792375
6150,18446.616631219746
6500,20505.16008233324
6500,20505.16008233324
6500,20505.16008233324
6500,20505.16008233324
6500,20505.16008233324
6500,20505.16008233324
