CD_MUNTY_REFNIS,MS_TOT_NET_INC,MS_TOT_RESIDENTS,Average_Income_Per_Citizen
46024,465318180.44,19273,24143.526199346237
46025,722515060.78,31191,23164.215984739185
51004,667783667.86,29946,22299.5948660923
51008,293351270.37,14289,20529.86705647701
51009,236925652.76,11932,19856.32356352665
51012,81256882.32,3823,21254.742955793878
51014,148651093.12,7045,21100.22613484741
51017,135908805.68,5969,22769.108004690905
51019,77526511.4,3422,22655.321858562245
51065,267271526.08,12100,22088.555874380167
51067,323200457.41,14347,22527.389517669202
51068,211290370.3,8420,25093.868206650834
51069,378385329.9,18865,20057.531402067318
52010,284884719.49,14816,19228.18031115011
52011,3187471745.62,203785,15641.346250312828
52012,593746483.32,35512,16719.60135503492
52015,578173145.52,31299,18472.57565800824
52018,163204874.22,11335,14398.312679311866
52021,438115577.21,22832,19188.66403337421
52022,338059373.27,18041,18738.394394434898
52025,321170705.13,12831,25030.839773205516
52048,249027878.74,10116,24617.228028865164
52055,408865737.71,17549,23298.520582939196
52074,207080037.07,10903,18992.941123543977
52075,233707371.73,9540,24497.628063941298
53014,337011297.6,20096,16770.068550955417
53020,299732042.56,16578,18080.10873205453
53028,399184530.14,21792,18317.939158406753
53039,129915311.58,6797,19113.62536118876
53044,258599588.55,10866,23798.968208172282
53046,99621784.34,4678,21295.80682770415
53053,1838062076.98,96465,19054.18625387446
53065,314060034.12,18996,16532.956102337335
53068,120197310.44,6852,17541.930887332164
53070,488871975.95,23665,20658.017154024932
53082,330147181.3,20659,15980.791969601627
53083,113062225.64,5148,21962.359292929294
53084,182538999.97,8105,22521.776677359656
55004,506009843.74,23133,21873.939555613193
55035,198512519.41,8812,22527.521494552882
55040,597316237.2,28741,20782.72284193313
55050,243259370.78,11484,21182.460012190873
55085,273651698.01,11520,23754.487674479165
55086,427921459.08,23928,17883.711930792375
56001,232445816.17,12601,18446.616631219742
56005,146939977.15,7166,20505.16008233324
56016,180908306.94,9716,18619.628132976533
56022,182392772.67,10043,18161.184175047296
56029,78161401.66,4053,19284.826464347396
56044,132174204.73,5919,22330.49581517148
56049,82626037.96,4224,19561.08853219697
56051,89391790.78,5296,16879.11457326284
56078,335469102.13,14922,22481.51066412009
56086,359806162.36,13811,26052.14411411194
56088,96208578.59,4858,19804.153682585427
57003,147563257.34,7639,19317.090894096087
57018,118316300.38,5684,20815.675647431384
57027,215197706.67,10622,20259.622168141592
57062,123971289.97,5901,21008.522279274697
57064,331734075.22,17235,19247.69801102408
57072,104745667.82,5298,19770.794228010567
57081,1424533149.02,68710,20732.544739048175
57093,170510799.77,8152,20916.437655789992
57094,291606422.4,14097,20685.70776761013
57095,83220688.16,3804,21877.152513144058
57096,1056618114.74,59563,17739.504637778486
57097,320336633.14,18336,17470.366118019196
58001,1424296071.8,81382,17501.364820230516
58002,658133423.06,33649,19558.781035394808
58003,171254581.55,7951,21538.747522324236
58004,369708089.96,19231,19224.589982840203
61003,293302410.65,14514,20208.24105346562
61010,82611394.28,3299,25041.344128523797
61012,110788114.88,4846,22861.765348741228
61019,115992098.68,5116,22672.41960125098
61024,80053202.22,3806,21033.421497635314
61028,134095414.87,5585,24009.922089525517
61031,439512788.69,21680,20272.730105627306
61039,126808042.49,5548,22856.532532444122
61041,99309641.67,4219,23538.66832661768
61043,158798799.5,5796,27397.99853347136
61048,63689142.71,2828,22520.913263790666
61063,109714228.19,4312,25443.93047077922
61068,160251010.83,6764,23691.75204464814
61072,321762699.72,14079,22854.0876283827
61079,101704678.87,4254,23908.011017865538
61080,118689527.93,6310,18809.75086053883
61081,67281104.17,2746,24501.494599417336
62003,551028218.71,28764,19156.870348699766
62006,214097246.99,9231,23193.288591701876
62009,277665482.34,12783,21721.46462802159
62011,194414721.66,9052,21477.543267786124
62015,232044782.27,11996,19343.51302684228
62022,561912588.33,20572,27314.436531693565
62026,105622295.39,5334,19801.70517247844
62027,183772087.78,7666,23972.356871901906
62032,335484987.15,12800,26209.76462109375
62038,337419578.65,16296,20705.668792955326
62051,706499428.12,40666,17373.221563960065
62060,228168186.33,9740,23425.891820328543
62063,3474003561.24,195346,17783.847947948765
62079,526354948.87,25690,20488.70957065006
62093,397131476.57,24352,16307.961422881077
62096,1077931541.16,64035,16833.474524244553
62099,375246682.47,17322,21663.011342223763
62100,375985376.25,15159,24802.782258064515
62108,377112275.46,18060,20881.07837541528
62118,419449526.73,23050,18197.376430802604
62119,314179621.2,13440,23376.459910714286
62120,517197039.69,26850,19262.45957877095
62121,282282130.06,9994,28245.160102061236
62122,174104831.76,7871,22119.785511370854
63001,117354650.52,5599,20959.93043757814
63003,97556958.21,4200,23227.84719285714
63004,100101162.76,4518,22156.078521469677
63012,117923979.41,5510,21401.81114519056
63013,116872156.58,5723,20421.484637427922
63020,220468088.06,15249,14457.87186438455
63023,420470041.43,20082,20937.65767503237
63035,398123880.47,17842,22313.859459141353
63038,216444372.34,8759,24711.082582486586
63040,219663577.78,11333,19382.65047030795
63045,76248945.07,3637,20964.79105581523
63046,118335602.14,5648,20951.77091713881
63048,125477250.69,6008,20885.02841045273
63049,270529153.63,12894,20981.01082906778
63057,107453008.71,4082,26323.61800832925
63058,186457304.63,9280,20092.381964439654
63061,252973974.1,11119,22751.504101088227
63067,224882539.9,10035,22409.81962132536
63072,208874502.02,9890,21119.76764610718
63073,151541786.36,7247,20910.968174417
63075,72944960.57,3190,22866.758799373038
63076,285988629.61,11972,23888.124758603408
63079,932268120.76,55156,16902.3881492494
63080,155413356.1,7542,20606.385057014053
63084,219541582.84,10515,20878.89518212078
63086,51763264.72,2517,20565.460754866905
63087,85199459.21,3974,21439.21973074987
63088,212341802.19,10745,19761.917374592835
63089,132312394.05,5652,23409.836173036092
64008,77879123.69,3336,23345.061058153475
64015,151272031.8,6484,23330.048087600248
64021,86826474.95,3540,24527.252810734462
64023,82205426.67,3144,26146.76420801527
64025,81303857.79,3429,23710.66135608049
64029,87289837.82,3559,24526.50683338016
64034,412560124.31,17026,24231.183149888406
64047,77525058.43,3351,23134.902545508805
64056,92587885.18,4025,23003.201286956522
64063,148801814.01,6062,24546.653581326293
64065,153230055.83,7195,21296.741602501737
64074,352074653.55,15455,22780.63109349725
64075,70768180.94,3144,22508.963403307887
64076,102666236.19,4079,25169.462169649425
71002,191520286.81,8214,23316.32417944972
71004,995564777.71,47895,20786.403125796012
71011,459461939.53,19423,23655.55987900942
71016,1349162172.92,67573,19965.994893226587
71017,206241544.49,8670,23787.952074971166
71020,231049122.68,9557,24175.90485298734
71022,1978334120.58,80351,24621.151206332215
71024,310616484.24,12817,24234.726085667473
71034,343503854.08,16407,20936.420678978484
71037,369610356.58,15366,24053.77824938175
71045,163680902.79,7190,22765.07688317107
71053,933228539.0,41353,22567.372113268688
71057,450491026.58,18838,23913.951936511305
71066,514651899.01,21653,23768.15679166859
71067,172831859.71,7345,23530.545910142955
71069,260216923.12,11337,22952.890810620094
71070,724954071.29,34623,20938.511142593074
72003,283537154.72,13743,20631.387231317764
72004,361919307.84,16695,21678.305351302784
72018,255308613.63,12330,20706.294698296835
72020,756524675.23,34826,21722.98498908861
72021,562302936.64,25737,21848.037325251582
72030,361030987.06,16534,21835.671166082015
72037,296213044.92,14458,20487.82991561765
72038,276693737.42,12914,21425.87404522224
72039,626173402.5,30960,20225.23909883721
72041,440236699.68,21305,20663.53906031448
72042,529458678.51,23791,22254.57855953932
72043,737023725.44,34100,21613.598986510267
73001,288689509.8,11839,24384.619461103135
73006,736814269.56,32644,22571.200513417472
73009,258006809.1,11455,22523.51017896115
73022,167156661.73,7554,22128.23162960021
73028,1921379.42,77,24952.97948051948
